Section,Section Description,Item Name,Quantity,Unit Cost,Unit,Cost Code,Markup,Markup Type,Item Type,Is Taxable,Is Optional,Assigned To,CF IGNORE - LINE VALUE,CF IGNORE - Zero value Section Validation,CF IGNORE - LINE VALUE FOR CUSTOMER SUMMARY,CF IGNORE - INCLUDE PRICE IN CUSTOMER SUMMARY
Stripping out of items as required to proceed with works,,Remove radiators & cap valves,0.0000000000,7.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Remove socket fronts and isolate,0.0000000000,2.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Skirting board removal & set aside,0.0000000000,0.1000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Strip Wall Paper,0.0000000000,0.5000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Antinox HD Floor Protection Boards – 2.4m x 1.2m,0.0000000000,4.5760000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Remove plaster/render (Walls),0.0000000000,0.0000000000,M2,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Removal of stud walls etc (Bag & cart away),0.0000000000,0.0000000000,M2,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Plaster & stud Removal (Ceilings),0.0000000000,0.0000000000,M2,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Strip out existing timber floor (GF),0.0000000000,0.0000000000,M2,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Scrape back/clear sub floors,0.0000000000,0.0000000000,M2,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Bag up debris & cart outside ,0.0000000000,1.0000000000,Bags,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Disposal via licensed transfer agent,0.0000000000,0.0000000000,Bags,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Remove radiators & cap valves,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Remove socket fronts and isolate,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Skirting board removal & set aside,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Strip Wall Paper,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Antinox HD Floor Protection Boards – 2.4m x 1.2m,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Remove plaster/render (Walls),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Removal of stud walls etc (Bag & cart away),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Plaster & stud Removal (Ceilings),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Strip out existing timber floor (GF),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Scrape back/clear sub floors,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Bag up debris & cart outside ,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Disposal via licensed transfer agent,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Stripping out of items as required to proceed with works,,Stripping out of items as required to proceed with works - Materials,1.0000000000,0.0000000000,EACH,Damp Materials,#DIV/0!,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,Yes
Stripping out of items as required to proceed with works,,Stripping out of items as required to proceed with works - Labour,0.0000000000,#DIV/0!,Hours,Damp Labour,#DIV/0!,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,Yes
,,,,,,,,,,,,,,DELETE,,
Walls (Install membrane system),,DPC Installation - Traditional,0.0000000000,0.0000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,DPC Installation - Digital,0.0000000000,0.0000000000,Each,Damp Materials,15.4000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 1mtr,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 1.2mtr,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 2mtr #1,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 2mtr #2,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 2mtr #3,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3 - Subtotals for above 3 lines,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Membrane plugs for m2 listed,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Sealing Tape Lm,0.0000000000,0.0000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Technoseal Lm,0.0000000000,1.0000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall/floor fillet joint,0.0000000000,0.0000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Overtape Lm,0.0000000000,0.0000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Fixing Rope Lm,0.0000000000,0.0000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Difficulty hours (additional hours if required),0.0000000000,0.0000000000,Hours,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,DPC Installation - Traditional,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,DPC Installation - Digital,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 1mtr,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 1.2mtr,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 2mtr #1,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 2mtr #2,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3  - 2mtr #3,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall membrane CM3 - Subtotals for above 3 lines,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Membrane plugs for m2 listed,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Sealing Tape Lm,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Technoseal Lm,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Wall/floor fillet joint,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Overtape Lm,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Fixing Rope Lm,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Difficulty hours (additional hours if required),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Walls (Install membrane system),,Walls (Install membrane system) - Materials,1.0000000000,0.0000000000,EACH,Damp Materials,#DIV/0!,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,Yes
Walls (Install membrane system),,Walls (Install membrane system) - Labour,0.0000000000,#DIV/0!,Hours,Damp Labour,#DIV/0!,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,Yes
,,,,,,,,,,,,,,DELETE,,
Cementitious tanking system,,Dubbing out coat (sand/cement/SBR),0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,2 coat tanking slurry,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,Renovating plaster,0.0000000000,0.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,Wall/floor fillet joint,0.0000000000,0.0000000000,LM,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,Difficulty hours (additional hours if required),0.0000000000,0.0000000000,Hours,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,Dubbing out coat (sand/cement/SBR),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,2 coat tanking slurry,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,Renovating plaster,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,Wall/floor fillet joint,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,Difficulty hours (additional hours if required),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Cementitious tanking system,,Cementitious tanking system - Materials,1.0000000000,0.0000000000,EACH,Damp Materials,#DIV/0!,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,Yes
Cementitious tanking system,,Cementitious tanking system - Labour,0.0000000000,#DIV/0!,Hours,Damp Labour,#DIV/0!,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,Yes
,,,,,,,,,,,,,,DELETE,,
Floor - Liquid Resin floor Membranes ,,EP40 2 Pack resin Primer,0.0000000000,0.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,EP40 2 Pack resin top coat,0.0000000000,0.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Wall/floor fillet joint,0.0000000000,0.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Grip grit,0.0000000000,0.0000000000,Each,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Difficulty hours (additional hours if required),0.0000000000,0.0000000000,Each,Damp Materials,0.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,EP40 2 Pack resin Primer,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,EP40 2 Pack resin top coat,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Wall/floor fillet joint,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Grip grit,0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Difficulty hours (additional hours if required),0.0000000000,30.6300000000,Hours,Damp Labour,100.0000000000,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,No
Floor - Liquid Resin floor Membranes ,,Floor - Liquid Resin floor Membranes  - Materials,1.0000000000,0.0000000000,EACH,Damp Materials,#DIV/0!,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,Yes
Floor - Liquid Resin floor Membranes ,,Floor - Liquid Resin floor Membranes  - Labour,0.0000000000,#DIV/0!,Hours,Damp Labour,#DIV/0!,%,LBR,Yes,No,,0.0000000000,DELETE,0.0000000000,Yes
,,,,,,,,,,,,,,DELETE,,
Plastering & finishing,,Construct stud wall to perimeter,0.0000000000,14.0000000000,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
Plastering & finishing,,Plaster boarding (inc dab/screws),0.0000000000,9.7559198543,M2,Damp Materials,30.0000000000,%,MTL,Yes,No,Preservation Shop,0.0000000000,DELETE,0.0000000000,No
